,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Team Name
75,MN Samuels,2017-2017,5,-,-,-,-,-,-,-,-,-,-,-,1,0,Peshawar Zalmi
76,Shahid Afridi,2016-2017,20,19,65,3,433,12,7-May,36.08,6.66,32.5,0,1,4,0,Peshawar Zalmi
77,Shahid Yousuf,2016-2016,9,-,-,-,-,-,-,-,-,-,-,-,3,0,Peshawar Zalmi
78,MD Shanaka,2023-2023,2,1,2,0,22,0,-,-,11,-,0,0,0,0,Peshawar Zalmi
79,Shakib Al Hasan,2017-2023,6,5,15,2,109,5,14-Feb,21.8,7.26,18,0,0,0,0,Peshawar Zalmi
80,Shoaib Malik,2020-2022,33,17,31,0,231,4,2-Jan,57.75,7.45,46.5,0,0,14,0,Peshawar Zalmi
81,DR Smith,2018-2018,10,3,1.4,0,20,0,-,-,12,-,0,0,2,0,Peshawar Zalmi
82,Sohaib Maqsood,2017-2020,12,1,1,0,8,0,-,-,8,-,0,0,3,0,Peshawar Zalmi
83,Sohail Khan,2022-2022,2,2,7,0,96,0,-,-,13.71,-,0,0,0,0,Peshawar Zalmi
84,Sufiyan Muqeem,2023-2023,5,5,13,0,113,4,Mar-37,28.25,8.69,19.5,0,0,1,0,Peshawar Zalmi
85,SW Tait,2016-2016,9,9,35,1,262,10,23-Feb,26.2,7.48,21,0,0,1,0,Peshawar Zalmi
86,Tamim Iqbal,2016-2018,17,-,-,-,-,-,-,-,-,-,-,-,3,0,Peshawar Zalmi
87,Umaid Asif,2018-2021,29,29,107.3,0,893,28,23-Apr,31.89,8.3,23,1,0,7,0,Peshawar Zalmi
88,Umar Amin,2019-2020,12,-,-,-,-,-,-,-,-,-,-,-,6,0,Peshawar Zalmi
89,Usman Qadir,2022-2023,10,10,33,0,341,11,25-Mar,31,10.33,18,0,0,0,0,Peshawar Zalmi
90,GC Viljoen,2020-2020,1,1,2,0,23,0,-,-,11.5,-,0,0,1,0,Peshawar Zalmi
91,Wahab Riaz,2016-2023,88,87,328.5,3,2563,113,17-Apr,22.68,7.79,17.4,1,0,24,0,Peshawar Zalmi
92,Waqar Salamkheil,2021-2021,1,1,3,0,38,0,-,-,12.66,-,0,0,0,0,Peshawar Zalmi
93,JW Wells,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Peshawar Zalmi
94,MH Wessels,2018-2018,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Peshawar Zalmi
95,Yasir Khan,2022-2022,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Peshawar Zalmi
96,Yasir Shah,2020-2020,4,4,12,0,112,3,28-Feb,37.33,9.33,24,0,0,2,0,Peshawar Zalmi
0,Abdul Bangalzai,2022-2023,5,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
1,Abdul Nasir,2020-2021,2,2,7,0,41,1,15-Jan,41,5.85,42,0,0,2,0,Quetta Gladiators
2,Ahmed Shehzad,2016-2020,35,-,-,-,-,-,-,-,-,-,-,-,13,0,Quetta Gladiators
3,Ahsan Ali,2019-2022,19,1,1,0,9,1,9-Jan,9,9,6,0,0,8,0,Quetta Gladiators
4,Aimal Khan,2023-2023,4,4,14,0,165,3,26-Feb,55,11.78,28,0,0,0,0,Quetta Gladiators
5,Aizaz Cheema,2016-2016,4,4,14,0,104,6,14-Feb,17.33,7.42,14,0,0,3,0,Quetta Gladiators
6,Akbar-ur-Rehman,2016-2016,7,3,4,0,29,0,-,-,7.25,-,0,0,3,0,Quetta Gladiators
7,Anamul Haque,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
8,Anwar Ali,2016-2021,36,34,102.1,1,893,23,21-Feb,38.82,8.74,26.6,0,0,12,0,Quetta Gladiators
9,JC Archer,2018-2018,2,2,8,0,53,5,23-Mar,10.6,6.62,9.6,0,0,1,0,Quetta Gladiators
10,Arish Ali,2021-2021,1,1,4,0,28,4,28-Apr,7,7,6,1,0,0,0,Quetta Gladiators
11,Asad Shafiq,2016-2018,16,-,-,-,-,-,-,-,-,-,-,-,6,0,Quetta Gladiators
12,Ashir Qureshi,2022-2022,4,2,7,0,61,1,31-Jan,61,8.71,42,0,0,0,0,Quetta Gladiators
13,Azam Khan,2019-2021,20,-,-,-,-,-,-,-,-,-,-,-,4,0,Quetta Gladiators
14,T Banton,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
15,Bismillah Khan,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
16,DJ Bravo,2019-2019,6,6,24,0,199,7,19-Mar,28.42,8.29,20.5,0,0,2,0,Quetta Gladiators
17,E Chigumbura,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,2,0,Quetta Gladiators
18,BCJ Cutting,2020-2021,12,8,21.5,0,247,9,31-Mar,27.44,11.31,14.5,0,0,3,0,Quetta Gladiators
19,Danish Aziz,2019-2019,1,1,0.3,0,6,0,-,-,12,-,0,0,0,0,Quetta Gladiators
20,CS Delport,2021-2021,5,1,1,0,25,0,-,-,25,-,0,0,1,0,Quetta Gladiators
21,BM Duckett,2022-2022,4,-,-,-,-,-,-,-,-,-,-,-,2,0,Quetta Gladiators
22,F du Plessis,2021-2021,5,-,-,-,-,-,-,-,-,-,-,-,3,0,Quetta Gladiators
23,GD Elliott,2016-2016,6,6,22,0,134,11,15-Apr,12.18,6.09,12,1,0,2,0,Quetta Gladiators
24,RR Emrit,2017-2017,1,1,4,0,30,3,30-Mar,10,7.5,8,0,0,0,0,Quetta Gladiators
25,SM Ervine,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
26,JP Faulkner,2022-2022,6,6,20,0,196,6,Feb-47,32.66,9.8,20,0,0,0,0,Quetta Gladiators
27,Fawad Ahmed,2019-2020,17,17,64.5,0,463,15,15-Mar,30.86,7.14,25.9,0,0,0,0,Quetta Gladiators
28,CH Gayle,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
29,Ghulam Mudassar,2019-2022,10,10,35.4,0,363,11,21-Mar,33,10.17,19.4,0,0,1,0,Quetta Gladiators
30,MJ Guptill,2023-2023,9,-,-,-,-,-,-,-,-,-,-,-,3,0,Quetta Gladiators
31,HF Gurney,2019-2019,1,1,2,0,13,1,13-Jan,13,6.5,12,0,0,0,0,Quetta Gladiators
32,Hassan Khan,2017-2022,26,26,74.2,0,554,16,10-Feb,34.62,7.45,27.8,0,0,16,0,Quetta Gladiators
33,JW Hastings,2018-2018,3,3,10,0,77,2,25-Jan,38.5,7.7,30,0,0,1,0,Quetta Gladiators
34,Iftikhar Ahmed,2022-2023,20,11,13.3,0,125,3,2-Jan,41.66,9.25,27,0,0,13,0,Quetta Gladiators
35,Khurram Manzoor,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
36,Khurram Shahzad,2021-2022,7,7,24,0,178,12,22-Apr,14.83,7.41,12,1,0,1,0,Quetta Gladiators
37,T Kohler-Cadmore,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,2,0,Quetta Gladiators
38,B Laughlin,2018-2018,3,3,10,0,79,3,9-Jan,26.33,7.9,20,0,0,3,0,Quetta Gladiators
39,NL McCullum,2016-2016,2,1,3,0,24,1,24-Jan,24,8,18,0,0,1,0,Quetta Gladiators
40,Mahmudullah,2017-2018,9,7,17.2,0,137,8,21-Mar,17.12,7.9,13,0,0,2,0,Quetta Gladiators
41,TS Mills,2017-2020,9,9,35,0,267,12,20-Mar,22.25,7.62,17.5,0,0,3,0,Quetta Gladiators
42,Mir Hamza,2017-2018,4,4,15,0,143,4,27-Jan,35.75,9.53,22.5,0,0,1,0,Quetta Gladiators
43,Mohammad Hafeez,2023-2023,7,6,8,0,64,0,-,-,8,-,0,0,0,0,Quetta Gladiators
44,Mohammad Hasnain,2019-2023,34,34,124.5,2,1078,47,25-Apr,22.93,8.63,15.9,2,0,5,0,Quetta Gladiators
45,Mohammad Irfan,2022-2022,2,2,7.3,0,56,2,28-Jan,28,7.46,22.5,0,0,0,0,Quetta Gladiators
46,Mohammad Irfan,2019-2019,3,3,12,0,106,3,Feb-32,35.33,8.83,24,0,0,2,0,Quetta Gladiators
47,Mohammad Nabi,2016-2016,8,8,27,0,208,4,Feb-32,52,7.7,40.5,0,0,4,0,Quetta Gladiators
48,Mohammad Nawaz,2016-2023,76,76,250.4,1,1887,70,13-Apr,26.95,7.52,21.4,1,0,38,0,Quetta Gladiators
49,Najibullah Zadran,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,2,0,Quetta Gladiators
50,Naseem Shah,2020-2023,29,29,102.1,0,817,26,20-May,31.42,7.99,23.5,1,1,7,0,Quetta Gladiators
51,Naveen-ul-Haq,2023-2023,4,4,16,0,157,4,Feb-36,39.25,9.81,24,0,0,1,0,Quetta Gladiators
52,Noor Ahmad,2022-2022,4,4,16,0,138,2,24-Jan,69,8.62,48,0,0,1,0,Quetta Gladiators
53,Omair Yousuf,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Quetta Gladiators
54,NLTC Perera,2017-2018,7,7,19.1,0,179,7,Mar-34,25.57,9.33,16.4,0,0,6,0,Quetta Gladiators
55,KP Pietersen,2016-2018,27,-,-,-,-,-,-,-,-,-,-,-,5,0,Quetta Gladiators
56,D Pretorius,2023-2023,2,2,8,0,79,1,Jan-40,79,9.87,48,0,0,0,0,Quetta Gladiators
57,Qais Ahmad,2021-2023,6,6,23,0,247,9,21-Mar,27.44,10.73,15.3,0,0,0,0,Quetta Gladiators
58,Rahat Ali,2018-2018,11,11,42.2,0,322,15,16-Apr,21.46,7.6,16.9,1,0,1,0,Quetta Gladiators
59,Rameez Raja,2018-2018,5,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
60,RR Rossouw,2017-2019,31,3,2.4,0,17,2,3-Jan,8.5,6.37,8,0,0,8,0,Quetta Gladiators
61,JJ Roy,2018-2023,23,-,-,-,-,-,-,-,-,-,-,-,8,0,Quetta Gladiators
62,AD Russell,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
63,Saad Nasim,2017-2017,3,1,1,0,9,0,-,-,9,-,0,0,1,0,Quetta Gladiators
64,Saim Ayub,2021-2021,7,-,-,-,-,-,-,-,-,-,-,-,1,0,Quetta Gladiators
65,KC Sangakkara,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
66,Sarfaraz Ahmed,2016-2023,80,1,0.4,0,6,0,-,-,9,-,0,0,38,11,Quetta Gladiators
67,Shahid Afridi,2022-2022,3,3,11,0,119,3,27-Feb,39.66,10.81,22,0,0,0,0,Quetta Gladiators
68,WCF Smeed,2022-2023,10,-,-,-,-,-,-,-,-,-,-,-,5,0,Quetta Gladiators
69,DR Smith,2019-2019,5,1,0.2,0,6,0,-,-,18,-,0,0,1,0,Quetta Gladiators
70,OF Smith,2023-2023,6,6,20.3,0,212,5,Feb-41,42.4,10.34,24.6,0,0,1,0,Quetta Gladiators
71,Sohail Khan,2020-2020,8,7,25.1,0,235,7,21-Feb,33.57,9.33,21.5,0,0,1,0,Quetta Gladiators
72,Sohail Tanvir,2019-2022,19,19,73,1,584,17,21-Apr,34.35,8,25.7,1,0,7,0,Quetta Gladiators
73,DW Steyn,2021-2021,3,3,10.4,0,98,4,Feb-44,24.5,9.18,16,0,0,0,0,Quetta Gladiators
74,N Thushara,2023-2023,1,1,2,0,21,1,21-Jan,21,10.5,12,0,0,0,0,Quetta Gladiators
75,Umaid Asif,2023-2023,3,3,11.2,0,119,4,Mar-37,29.75,10.5,17,0,0,1,0,Quetta Gladiators
76,Umar Akmal,2019-2023,23,-,-,-,-,-,-,-,-,-,-,-,7,1,Quetta Gladiators
77,Umar Amin,2018-2018,6,-,-,-,-,-,-,-,-,-,-,-,2,0,Quetta Gladiators
78,Umar Gul,2016-2017,8,7,25,0,213,5,19-Feb,42.6,8.52,30,0,0,1,0,Quetta Gladiators
79,Usman Khan,2021-2021,6,-,-,-,-,-,-,-,-,-,-,-,3,0,Quetta Gladiators
80,Usman Shinwari,2021-2021,5,5,18,0,173,5,Mar-32,34.6,9.61,21.6,0,0,0,0,Quetta Gladiators
81,MN van Wyk,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Quetta Gladiators
82,JM Vince,2022-2022,6,-,-,-,-,-,-,-,-,-,-,-,2,0,Quetta Gladiators
83,SR Watson,2018-2020,31,11,37,0,286,12,22-Mar,23.83,7.72,18.5,0,0,8,0,Quetta Gladiators
84,J Weatherald,2021-2021,5,-,-,-,-,-,-,-,-,-,-,-,1,0,Quetta Gladiators
85,JD Wildermuth,2021-2021,2,2,4,0,65,0,-,-,16.25,-,0,0,0,0,Quetta Gladiators
86,L Wood,2022-2022,1,1,4,0,45,1,Jan-45,45,11.25,24,0,0,0,0,Quetta Gladiators
87,LJ Wright,2016-2017,7,-,-,-,-,-,-,-,-,-,-,-,1,0,Quetta Gladiators
88,Yasir Khan,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,2,0,Quetta Gladiators
89,Zahid Mahmood,2020-2021,7,7,22.5,0,243,6,Feb-29,40.5,10.64,22.8,0,0,0,0,Quetta Gladiators
90,Zahir Khan,2021-2021,2,2,8,0,56,1,25-Jan,56,7,48,0,0,1,0,Quetta Gladiators
91,Zahoor Khan,2021-2021,1,1,1,0,23,0,-,-,23,-,0,0,0,0,Quetta Gladiators
92,Zulfiqar Babar,2016-2017,18,18,72,2,499,15,17-Feb,33.26,6.93,28.8,0,0,7,0,Quetta Gladiators
